onset	duration	trial_type	value	sample	frequency	opacity	color
1144.0	5.0	stim_10Hz_trans0_white	5	2288000	10	0	white
1158.0	1.0	cue	1	2316000			
1159.0	5.0	stim_15Hz_trans0_white	13	2318000	15	0	white
1173.0	1.0	cue	1	2346000			
1174.0	5.0	stim_10Hz_trans0_green	4	2348000	10	0	green
1188.0	1.0	cue	1	2376000			
1189.0	5.0	stim_12Hz_trans0_white	9	2378000	12	0	white
1263.0	1.0	cue	1	2526000			
1264.0	5.0	stim_15Hz_trans0_green	12	2528000	15	0	green
1278.0	1.0	cue	1	2556000			
1279.0	5.0	stim_10Hz_trans0_white	5	2558000	10	0	white
1293.0	1.0	cue	1	2586000			
1294.0	5.0	stim_12Hz_trans50_green	10	2588000	12	0.5	green
1308.0	1.0	cue	1	2616000			
1309.0	5.0	stim_15Hz_trans0_green	12	2618000	15	0	green
1323.0	1.0	cue	1	2646000			
1324.0	5.0	stim_12Hz_trans50_white	11	2648000	12	0.5	white
1338.0	1.0	cue	1	2676000			
1339.0	5.0	stim_10Hz_trans0_green	4	2678000	10	0	green
1353.0	1.0	cue	1	2706000			
1354.0	5.0	stim_10Hz_trans50_green	6	2708000	10	0.5	green
1368.0	1.0	cue	1	2736000			
1369.0	5.0	stim_15Hz_trans0_green	12	2738000	15	0	green
1383.0	1.0	cue	1	2766000			
1384.0	5.0	stim_10Hz_trans50_white	7	2768000	10	0.5	white
1398.0	1.0	cue	1	2796000			
1399.0	5.0	stim_12Hz_trans0_white	9	2798000	12	0	white
1473.0	1.0	cue	1	2946000			
1474.0	5.0	stim_10Hz_trans50_white	7	2948000	10	0.5	white
1488.0	1.0	cue	1	2976000			
1489.0	5.0	stim_15Hz_trans50_green	14	2978000	15	0.5	green
1503.0	1.0	cue	1	3006000			
1504.0	5.0	stim_12Hz_trans50_white	11	3008000	12	0.5	white
1518.0	1.0	cue	1	3036000			
1519.0	5.0	stim_15Hz_trans50_green	14	3038000	15	0.5	green
1533.0	1.0	cue	1	3066000			
1534.0	5.0	stim_12Hz_trans0_white	9	3068000	12	0	white
1548.0	1.0	cue	1	3096000			
1549.0	5.0	stim_15Hz_trans0_white	13	3098000	15	0	white
1563.0	1.0	cue	1	3126000			
1564.0	5.0	stim_12Hz_trans50_green	10	3128000	12	0.5	green
1578.0	1.0	cue	1	3156000			
1579.0	5.0	stim_15Hz_trans50_white	15	3158000	15	0.5	white
1593.0	1.0	cue	1	3186000			
1594.0	5.0	stim_15Hz_trans0_green	12	3188000	15	0	green
1608.0	1.0	cue	1	3216000			
1609.0	5.0	stim_12Hz_trans50_green	10	3218000	12	0.5	green
